th,tp,fp,fn,prec,rec,f1,macro
0.05,63,161,2,0.281,0.969,0.436,0.449
0.06,63,145,2,0.303,0.969,0.462,0.5
0.07,63,130,2,0.326,0.969,0.488,0.547
0.08,62,117,3,0.346,0.954,0.508,0.582
0.09,60,106,5,0.361,0.923,0.519,0.606
0.1,59,99,6,0.373,0.908,0.529,0.622
0.11,59,91,6,0.393,0.908,0.549,0.646
0.12,58,81,7,0.417,0.892,0.569,0.671
0.13,58,78,7,0.426,0.892,0.577,0.68
0.14,58,70,7,0.453,0.892,0.601,0.704
0.15,57,66,8,0.463,0.877,0.606,0.712
0.16,56,58,9,0.491,0.862,0.626,0.732
0.17,56,50,9,0.528,0.862,0.655,0.757
0.18,55,49,10,0.529,0.846,0.651,0.756
0.19,55,44,10,0.556,0.846,0.671,0.772
0.2,55,41,10,0.573,0.846,0.683,0.782
0.21,54,38,11,0.587,0.831,0.688,0.788
0.22,54,34,11,0.614,0.831,0.706,0.802
0.23,53,31,12,0.631,0.815,0.711,0.807
0.24,53,25,12,0.679,0.815,0.741,0.829
0.25,52,24,13,0.684,0.8,0.738,0.828
0.26,52,23,13,0.693,0.8,0.743,0.832
0.27,52,22,13,0.703,0.8,0.748,0.835
0.28,52,20,13,0.722,0.8,0.759,0.843
0.29,51,18,14,0.739,0.785,0.761,0.846
0.3,51,14,14,0.785,0.785,0.785,0.862
0.31,51,11,14,0.823,0.785,0.803,0.875
0.32,51,11,14,0.823,0.785,0.803,0.875
0.33,50,10,15,0.833,0.769,0.8,0.873
0.34,50,10,15,0.833,0.769,0.8,0.873
0.35,50,10,15,0.833,0.769,0.8,0.873
0.36,49,9,16,0.845,0.754,0.797,0.872
0.37,48,9,17,0.842,0.738,0.787,0.866
0.38,48,7,17,0.873,0.738,0.8,0.875
0.39,48,7,17,0.873,0.738,0.8,0.875
0.4,48,6,17,0.889,0.738,0.807,0.879
0.41,48,6,17,0.889,0.738,0.807,0.879
0.42,48,6,17,0.889,0.738,0.807,0.879
0.43,47,6,18,0.887,0.723,0.797,0.873
0.44,47,6,18,0.887,0.723,0.797,0.873
0.45,46,6,19,0.885,0.708,0.786,0.867
0.46,45,6,20,0.882,0.692,0.776,0.861
0.47,45,6,20,0.882,0.692,0.776,0.861
0.48,45,5,20,0.9,0.692,0.783,0.865
0.49,45,4,20,0.918,0.692,0.789,0.87
0.5,45,4,20,0.918,0.692,0.789,0.87
0.51,45,4,20,0.918,0.692,0.789,0.87
0.52,45,3,20,0.938,0.692,0.796,0.874
0.53,45,3,20,0.938,0.692,0.796,0.874
0.54,45,3,20,0.938,0.692,0.796,0.874
0.55,45,1,20,0.978,0.692,0.811,0.884
0.56,45,1,20,0.978,0.692,0.811,0.884
0.57,45,1,20,0.978,0.692,0.811,0.884
0.58,45,1,20,0.978,0.692,0.811,0.884
0.59,44,0,21,1.0,0.677,0.807,0.882
0.6,43,0,22,1.0,0.662,0.796,0.875
0.61,43,0,22,1.0,0.662,0.796,0.875
0.62,43,0,22,1.0,0.662,0.796,0.875
0.63,42,0,23,1.0,0.646,0.785,0.869
0.64,41,0,24,1.0,0.631,0.774,0.862
0.65,41,0,24,1.0,0.631,0.774,0.862
0.66,41,0,24,1.0,0.631,0.774,0.862
0.67,41,0,24,1.0,0.631,0.774,0.862
0.68,40,0,25,1.0,0.615,0.762,0.855
0.69,40,0,25,1.0,0.615,0.762,0.855
0.7,40,0,25,1.0,0.615,0.762,0.855
0.71,40,0,25,1.0,0.615,0.762,0.855
0.72,39,0,26,1.0,0.6,0.75,0.848
0.73,38,0,27,1.0,0.585,0.738,0.841
0.74,37,0,28,1.0,0.569,0.725,0.834
0.75,36,0,29,1.0,0.554,0.713,0.827
0.76,33,0,32,1.0,0.508,0.673,0.804
0.77,33,0,32,1.0,0.508,0.673,0.804
0.78,31,0,34,1.0,0.477,0.646,0.789
0.79,31,0,34,1.0,0.477,0.646,0.789
0.8,29,0,36,1.0,0.446,0.617,0.772
0.81,27,0,38,1.0,0.415,0.587,0.755
0.82,25,0,40,1.0,0.385,0.556,0.738
0.83,24,0,41,1.0,0.369,0.539,0.729
0.84,21,0,44,1.0,0.323,0.488,0.701
0.85,21,0,44,1.0,0.323,0.488,0.701
0.86,21,0,44,1.0,0.323,0.488,0.701
0.87,19,0,46,1.0,0.292,0.452,0.681
0.88,16,0,49,1.0,0.246,0.395,0.65
0.89,12,0,53,1.0,0.185,0.312,0.604
0.9,9,0,56,1.0,0.138,0.243,0.568
0.91,9,0,56,1.0,0.138,0.243,0.568
0.92,7,0,58,1.0,0.108,0.194,0.541
0.93,6,0,59,1.0,0.092,0.169,0.528
0.94,4,0,61,1.0,0.062,0.116,0.5
0.95,3,0,62,1.0,0.046,0.088,0.485
