s_fid,y
20230303-49284-13461-s-5746,0
20230303-49281-13461-s-8554,0
20230303-49284-13461-s-6698,1
20230303-49281-13461-s-8383,0
20230303-49281-13461-s-7931,0
20230303-49281-13461-s-8505,1
20230303-49281-13461-s-7435,0
20230303-49281-13461-s-8489,0
20230303-49284-13461-s-6793,1
20230303-49281-13461-s-8087,0
20230303-49281-13461-s-8421,1
20230303-49281-13461-s-7694,0
20230303-49284-13461-s-6525,0
20230303-49284-13461-s-6254,0
20230303-49281-13461-s-8311,0
20230303-49281-13461-s-8051,1
20230303-49284-13461-s-5811,0
20230303-49281-13461-s-8592,0
20230303-49281-13461-s-8512,0
20230303-49281-13461-s-7724,0
20230303-49281-13461-s-7713,0
20230303-49281-13461-s-7775,0
20230303-49281-13461-s-8692,0
20230303-49281-13461-s-7597,0
20230303-49281-13461-s-7347,0
20230303-49284-13461-s-6554,1
20230303-49281-13461-s-8793,0
20230303-49284-13461-s-6614,1
20230303-49281-13461-s-8481,0
20230303-49281-13461-s-8274,0
20230303-49281-13461-s-8020,0
20230303-49281-13461-s-7339,0
20230303-49281-13461-s-7580,0
20230303-49281-13461-s-8800,0
20230303-49284-13461-s-6349,0
20230303-49281-13461-s-8572,0
20230303-49281-13461-s-7454,0
20230303-49281-13461-s-8497,0
20230303-49281-13461-s-8478,0
20230303-49281-13461-s-8525,0
20230303-49281-13461-s-7968,0
20230303-49281-13461-s-8663,0
20230303-49281-13461-s-8437,0
20230303-49284-13461-s-5769,0
20230303-49281-13461-s-8668,0
20230303-49281-13461-s-8438,0
20230303-49284-13461-s-6139,0
20230303-49281-13461-s-8802,0
20230303-49284-13461-s-6198,0
20230303-49284-13461-s-6283,0
20230303-49281-13461-s-8594,0
20230303-49284-13461-s-6424,0
20230303-49281-13461-s-7436,0
20230303-49281-13461-s-8014,0
20230303-49281-13461-s-7568,0
20230303-49284-13461-s-6012,0
20230303-49281-13461-s-7773,0
20230303-49281-13461-s-8112,0
20230303-49284-13461-s-6209,0
20230303-49284-13461-s-6634,1
20230303-49281-13461-s-8293,0
20230303-49281-13461-s-8555,0
20230303-49281-13461-s-7369,0
20230303-49284-13461-s-6315,0
20230303-49284-13461-s-6105,0
20230303-49281-13461-s-8396,1
20230303-49281-13461-s-8515,0
20230303-49284-13461-s-5708,0
20230303-49281-13461-s-8694,0
20230303-49284-13461-s-6941,0
20230303-49281-13461-s-8240,0
20230303-49284-13461-s-6313,0
20230303-49281-13461-s-8957,0
20230303-49284-13461-s-6808,1
20230303-49281-13461-s-7367,0
20230303-49281-13461-s-7945,0
20230303-49281-13461-s-8460,0
20230303-49284-13461-s-5765,0
20230303-49281-13461-s-8189,0
20230303-49281-13461-s-7978,0
20230303-49281-13461-s-7531,0
20230303-49281-13461-s-7366,0
20230303-49284-13461-s-6544,1
20230303-49281-13461-s-8291,0
20230303-49281-13461-s-8560,0
20230303-49281-13461-s-8289,0
20230303-49284-13461-s-6338,0
20230303-49284-13461-s-6828,1
20230303-49284-13461-s-6040,0
20230303-49281-13461-s-8828,0
20230303-49284-13461-s-6504,1
20230303-49281-13461-s-8687,0
20230303-49281-13461-s-7777,0
20230303-49284-13461-s-6070,0
20230303-49281-13461-s-8562,0
20230303-49284-13461-s-6788,1
20230303-49281-13461-s-7425,0
20230303-49281-13461-s-8061,0
20230303-49284-13461-s-6350,0
20230303-49284-13461-s-6026,0
20230303-49281-13461-s-7782,0
20230303-49284-13461-s-6261,0
20230303-49284-13461-s-6806,1
20230303-49284-13461-s-6423,0
20230303-49281-13461-s-8710,0
20230303-49281-13461-s-7569,0
20230303-49281-13461-s-8451,0
20230303-49284-13461-s-6854,0
20230303-49281-13461-s-8608,0
20230303-49281-13461-s-8357,1
20230303-49281-13461-s-7809,0
20230303-49281-13461-s-8674,0
20230303-49281-13461-s-8716,0
20230303-49281-13461-s-8906,0
20230303-49281-13461-s-8768,0
20230303-49284-13461-s-6842,0
20230303-49281-13461-s-8904,0
20230303-49281-13461-s-8633,0
20230303-49281-13461-s-7518,0
20230303-49281-13461-s-7895,0
20230303-49281-13461-s-7371,0
20230303-49284-13461-s-5791,0
20230303-49284-13461-s-6017,0
20230303-49284-13461-s-5788,0
20230303-49284-13461-s-6858,0
20230303-49284-13461-s-6873,0
20230303-49281-13461-s-8076,1
20230303-49281-13461-s-8430,1
20230303-49284-13461-s-6355,0
20230303-49284-13461-s-5683,0
20230303-49281-13461-s-7511,0
20230303-49284-13461-s-6172,0
20230303-49281-13461-s-7429,0
20230303-49284-13461-s-6778,1
20230303-49284-13461-s-6602,1
20230303-49284-13461-s-6432,0
20230303-49284-13461-s-6735,1
20230303-49281-13461-s-8807,0
20230303-49284-13461-s-6207,0
20230303-49281-13461-s-7871,0
20230303-49284-13461-s-6751,1
20230303-49284-13461-s-6729,1
20230303-49281-13461-s-7787,0
20230303-49284-13461-s-6539,1
20230303-49281-13461-s-8618,0
20230303-49284-13461-s-6569,0
20230303-49281-13461-s-8666,0
20230303-49281-13461-s-7663,0
20230303-49281-13461-s-7869,0
20230303-49284-13461-s-6757,1
20230303-49284-13461-s-5965,0
20230303-49281-13461-s-7567,0
20230303-49281-13461-s-7486,0
20230303-49284-13461-s-6835,1
20230303-49281-13461-s-7373,0
20230303-49281-13461-s-8891,1
20230303-49281-13461-s-8784,0
20230303-49284-13461-s-5720,0
20230303-49281-13461-s-7561,0
20230303-49281-13461-s-8422,0
20230303-49281-13461-s-8615,0
20230303-49281-13461-s-8705,0
20230303-49281-13461-s-8521,0
20230303-49284-13461-s-6800,1
20230303-49281-13461-s-7933,0
20230303-49281-13461-s-8616,0
20230303-49284-13461-s-6610,1
20230303-49281-13461-s-7345,0
20230303-49281-13461-s-8673,0
20230303-49284-13461-s-5759,0
20230303-49281-13461-s-8316,0
20230303-49284-13461-s-6481,0
20230303-49284-13461-s-6398,0
20230303-49281-13461-s-8524,0
20230303-49284-13461-s-5694,0
20230303-49281-13461-s-7509,0
20230303-49281-13461-s-8678,0
20230303-49284-13461-s-5982,0
20230303-49284-13461-s-6619,1
20230303-49281-13461-s-8557,0
20230303-49284-13461-s-6512,0
20230303-49284-13461-s-6878,0
20230303-49281-13461-s-7730,0
20230303-49281-13461-s-8498,0
20230303-49281-13461-s-7528,0
20230303-49284-13461-s-6754,1
20230303-49281-13461-s-8233,0
20230303-49281-13461-s-8440,0
20230303-49281-13461-s-7912,0
20230303-49281-13461-s-8513,0
20230303-49281-13461-s-8597,0
20230303-49281-13461-s-7758,0
20230303-49284-13461-s-6760,1
20230303-49281-13461-s-8639,0
20230303-49284-13461-s-6476,1
20230303-49281-13461-s-8707,0
20230303-49284-13461-s-6796,1
20230303-49281-13461-s-8585,0
20230303-49284-13461-s-6648,1
20230303-49281-13461-s-7446,0
20230303-49281-13461-s-7944,0
20230303-49281-13461-s-8799,0
20230303-49284-13461-s-6131,0
20230303-49281-13461-s-7820,0
20230303-49284-13461-s-6607,1
20230303-49284-13461-s-6391,0
20230303-49281-13461-s-7764,0
20230303-49281-13461-s-7715,0
20230303-49281-13461-s-7548,0
20230303-49284-13461-s-5869,0
20230303-49284-13461-s-5821,0
20230303-49281-13461-s-7610,0
20230303-49281-13461-s-7657,0
20230303-49284-13461-s-6659,1
20230303-49281-13461-s-7448,0
20230303-49284-13461-s-5675,0
20230303-49281-13461-s-7680,0
20230303-49281-13461-s-8635,0
20230303-49284-13461-s-6826,1
20230303-49281-13461-s-7800,0
20230303-49281-13461-s-8253,0
20230303-49284-13461-s-5709,0
20230303-49281-13461-s-8724,0
20230303-49284-13461-s-6130,0
20230303-49284-13461-s-6652,1
20230303-49281-13461-s-8771,0
20230303-49284-13461-s-6434,1
20230303-49281-13461-s-7503,0
20230303-49281-13461-s-8067,0
20230303-49281-13461-s-8354,0
20230303-49281-13461-s-8563,0
20230303-49284-13461-s-6804,1
20230303-49284-13461-s-6647,1
20230303-49281-13461-s-8218,0
20230303-49281-13461-s-7351,0
20230303-49281-13461-s-8339,0
20230303-49284-13461-s-6670,1
20230303-49284-13461-s-6547,1
20230303-49281-13461-s-8653,0
20230303-49284-13461-s-6322,0
20230303-49284-13461-s-6920,1
20230303-49281-13461-s-8060,1
20230303-49281-13461-s-8553,0
20230303-49281-13461-s-7608,0
20230303-49281-13461-s-8407,0
20230303-49284-13461-s-6425,0
20230303-49281-13461-s-8393,0
20230303-49281-13461-s-7751,0
20230303-49284-13461-s-6119,0
20230303-49281-13461-s-8181,0
20230303-49281-13461-s-7393,0
20230303-49281-13461-s-8373,0
20230303-49281-13461-s-7684,0
20230303-49281-13461-s-8752,0
20230303-49284-13461-s-6872,0
20230303-49281-13461-s-7390,0
20230303-49281-13461-s-7550,0
20230303-49281-13461-s-7414,0
20230303-49284-13461-s-6656,1
20230303-49281-13461-s-7672,0
20230303-49284-13461-s-6555,1
20230303-49281-13461-s-8755,0
20230303-49281-13461-s-7613,0
20230303-49281-13461-s-8761,0
20230303-49281-13461-s-7988,1
20230303-49281-13461-s-8275,1
20230303-49284-13461-s-6791,1
20230303-49284-13461-s-6718,1
20230303-49281-13461-s-7463,0
20230303-49281-13461-s-7647,0
20230303-49281-13461-s-8579,0
20230303-49284-13461-s-6720,1
20230303-49281-13461-s-7979,0
20230303-49281-13461-s-8054,0
20230303-49284-13461-s-6643,1
