s_fid,idx,reason,zero_frac,pixel_std,damage_val,label
manual,11,edge_fill,0.453125,78.33585861072055,0,survived
20230303-49281-13461-s-7400,20,edge_fill,0.421875,47.42101106787177,0,survived
20230303-49281-13461-s-7365,21,edge_fill,0.5,55.770846368127664,0,survived
20230303-49281-13461-s-7327,32,edge_fill,0.453125,53.112011315480295,0,survived
20230303-49281-13461-s-7328,36,edge_fill,0.453125,56.12504988745776,0,survived
20230303-49281-13461-s-7323,41,edge_fill,0.734375,52.975994099369885,0,survived
20230303-49281-13461-s-7325,53,edge_fill,0.5625,35.808995814143586,0,survived
20230303-49281-13461-s-8162,81,edge_fill,0.46875,73.15747502665693,0,survived
manual,82,edge_fill,0.59375,40.64189498248775,0,survived
20230303-49281-13461-s-7704,88,edge_fill,0.34375,59.68394883328556,0,survived
20230303-49281-13461-s-7811,107,edge_fill,0.28125,71.36578846811616,0,survived
20230303-49281-13461-s-7932,118,edge_fill,0.203125,48.981577965180584,0,survived
20230303-49281-13461-s-7989,124,edge_fill,0.5625,49.42940754324888,0,survived
20230303-49281-13461-s-8065,126,edge_fill,0.234375,54.4012455335796,0,survived
20230303-49281-13461-s-8139,129,edge_fill,0.640625,54.65861603530534,0,survived
20230303-49281-13461-s-8822,168,edge_fill,0.453125,52.65199383470811,0,survived
20230303-49281-13461-s-8832,173,edge_fill,0.609375,33.58364419176017,0,survived
20230303-49281-13461-s-8820,175,edge_fill,0.359375,33.54655172658858,0,survived
20230303-49281-13461-s-8806,196,edge_fill,0.421875,46.820474546944794,0,survived
20230303-49281-13461-s-8834,295,edge_fill,0.75,53.90815104917972,0,survived
20230303-49281-13461-s-8833,299,edge_fill,0.390625,60.911352440191706,0,survived
20230303-49281-13461-s-8831,434,edge_fill,0.453125,62.50669055938324,0,survived
20230303-49281-13461-s-7326,638,edge_fill,0.578125,58.57615475012037,0,survived
20230303-49281-13461-s-7331,639,edge_fill,0.578125,64.22729934866534,0,survived
20230303-49281-13461-s-7329,660,edge_fill,0.375,61.618287401977575,0,survived
20230303-49281-13461-s-7332,668,edge_fill,0.390625,61.94727634479378,0,survived
20230303-49284-13461-s-5640,788,edge_fill,0.453125,83.12647843922421,0,survived
20230303-49284-13461-s-5625,789,edge_fill,0.734375,44.27822728063826,1,destroyed
20230303-49284-13461-s-5639,790,edge_fill,0.4375,54.076328137822244,0,survived
20230303-49281-13461-s-8823,1107,edge_fill,0.21875,53.24236473693977,0,survived
20230303-49281-13461-s-8826,1108,edge_fill,0.46875,74.8845775141748,0,survived
20230303-49284-13461-s-6887,1278,edge_fill,0.390625,81.445360425472,0,survived
20230303-49284-13461-s-6888,1280,edge_fill,0.609375,67.2907933586444,0,survived
20230303-49281-13461-s-8830,1473,edge_fill,0.421875,67.63911608432191,0,survived
20230303-49284-13461-s-5643,1474,edge_fill,0.21875,67.56292638527493,0,survived
20230303-49284-13461-s-5649,1495,edge_fill,0.21875,46.58883109517229,0,survived
20230303-49284-13461-s-5738,1540,edge_fill,0.28125,55.0571482462283,1,destroyed
20230303-49284-13461-s-5945,1560,edge_fill,0.640625,88.93959446246834,0,survived
20230303-49284-13461-s-6382,1626,edge_fill,0.203125,72.21585591319139,0,survived
20230303-49284-13461-s-6402,1627,edge_fill,0.34375,60.9933875515718,0,survived
20230303-49284-13461-s-6426,1630,edge_fill,0.53125,55.478245053889346,0,survived
20230303-49284-13461-s-6608,1677,edge_fill,0.203125,52.03151429808947,1,destroyed
20230303-49284-13461-s-6605,1685,edge_fill,0.46875,56.886830556636326,1,destroyed
20230303-49284-13461-s-6465,1686,edge_fill,0.640625,57.60638059985707,0,survived
20230303-49284-13461-s-6596,1692,edge_fill,0.5,56.305961968798655,0,survived
20230303-49284-13461-s-6469,1693,edge_fill,0.390625,60.817845961903494,0,survived
20230303-49284-13461-s-6536,1695,edge_fill,0.4375,47.00859082556985,1,destroyed
20230303-49284-13461-s-6661,1696,edge_fill,0.609375,54.808429687170836,0,survived
20230303-49284-13461-s-6550,1698,edge_fill,0.421875,53.00651023175254,0,survived
20230303-49281-13461-s-8815,1867,edge_fill,0.296875,48.79750543168726,1,destroyed
20230303-49281-13461-s-8810,2063,edge_fill,0.203125,85.0360431565603,0,survived
